Entrez_ID	Gene_Symbol	Description
10516		fibulin 5
10517		F-box and WD repeat domain containing 10
10518		calcium and integrin binding family member 2
10519	Failed_10519	
1052		CCAAT enhancer binding protein delta
10520		zinc finger protein 211
10521		DEAD-box helicase 17
10522		DEAF1 transcription factor
10523		calcium homeostasis endoplasmic reticulum protein
10524		lysine acetyltransferase 5
10525		hypoxia up-regulated 1
10526	Failed_10526	
10527		importin 7
10528		NOP56 ribonucleoprotein
10529		nebulette
1053		CCAAT enhancer binding protein epsilon
10531		pitrilysin metallopeptidase 1
10533		autophagy related 7
10534		zinc ribbon domain containing 2
10535		ribonuclease H2 subunit A
10536		prolyl 3-hydroxylase 3
10537		ubiquitin D
10538		basic leucine zipper ATF-like transcription factor
10539		glutaredoxin 3
1054		CCAAT enhancer binding protein gamma
10540		dynactin subunit 2
10541		acidic nuclear phosphoprotein 32 family member B
10542		late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
10544		protein C receptor
10548		transmembrane 9 superfamily member 1
10549		peroxiredoxin 4
10550		ARF like GTPase 6 interacting protein 5
10551		anterior gradient 2, protein disulphide isomerase family member
10552	Failed_10552	
10553		HIV-1 Tat interactive protein 2
10554		1-acylglycerol-3-phosphate O-acyltransferase 1
10555		1-acylglycerol-3-phosphate O-acyltransferase 2
10556		ribonuclease P/MRP subunit p30
10557		ribonuclease P/MRP subunit p38
10558		serine palmitoyltransferase long chain base subunit 1
10559		solute carrier family 35 member A1
1056		carboxyl ester lipase
10560		solute carrier family 19 member 2
10561		interferon induced protein 44
10562		olfactomedin 4
10563		C-X-C motif chemokine ligand 13
10564		ARF guanine nucleotide exchange factor 2
10565		ARF guanine nucleotide exchange factor 1
10566		A-kinase anchoring protein 3
10567		Rab acceptor 1
10568		solute carrier family 34 member 2
10569		SLU7 homolog, splicing factor
10570		dihydropyrimidinase like 4
10572		SIVA1 apoptosis inducing factor
10573	Failed_10573	
10574	Failed_10574	
10575		chaperonin containing TCP1 subunit 4
10576		chaperonin containing TCP1 subunit 2
10577		NPC intracellular cholesterol transporter 2
10578		granulysin
10579		transforming acidic coiled-coil containing protein 2
1058		centromere protein A
10580		sorbin and SH3 domain containing 1
10581		interferon induced transmembrane protein 2
10584		collectin subfamily member 10
10585		protein O-mannosyltransferase 1
10586		mab-21 like 2
10587		thioredoxin reductase 2
10588		methenyltetrahydrofolate synthetase
10589		DR1 associated protein 1
1059		centromere protein B
10590		secretagogin, EF-hand calcium binding protein
10591		2'-deoxynucleoside 5'-phosphate N-hydrolase 1
10592		structural maintenance of chromosomes 2
10594		pre-mRNA processing factor 8
10595		endoplasmic reticulum to nucleus signaling 2
10598		activator of HSP90 ATPase activity 1
10599		solute carrier organic anion transporter family member 1B1
1060		centromere protein C
10600		ubiquitin specific peptidase 16
10602		CDC42 effector protein 3
10603		SH2B adaptor protein 2
10605		poly(A) binding protein interacting protein 1
10606		phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
10607		transducin beta like 3
10608		MAX dimerization protein 4
10609		prolyl 3-hydroxylase family member 4 (inactive)
10610		ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
10611		PDZ and LIM domain 5
10612		tripartite motif containing 3
10613		ER lipid raft associated 1
10614		HEXIM P-TEFb complex subunit 1
10615		sperm associated antigen 5
10616		RANBP2-type and C3HC4-type zinc finger containing 1
10617		STAM binding protein
10618		trans-golgi network protein 2
1062		centromere protein E
10620	Failed_10620	
10621		RNA polymerase III subunit F
10622		RNA polymerase III subunit G
10623		RNA polymerase III subunit C
10625		influenza virus NS1A binding protein
10626		tripartite motif containing 16
10627		myosin light chain 12A
10628		thioredoxin interacting protein
10629		TATA-box binding protein associated factor 6 like
1063		centromere protein F
10630		podoplanin
10631		periostin
10632		ATP synthase membrane subunit g
10633	Failed_10633	
10634		growth arrest specific 2 like 1
10635		RAD51 associated protein 1
10636		regulator of G protein signaling 14
10637		left-right determination factor 1
10638		S-phase response (cyclin related)
10640		exocyst complex component 5
10641		NPR2 like, GATOR1 complex subunit
10642		insulin like growth factor 2 mRNA binding protein 1
10643	Failed_10643	
10644		insulin like growth factor 2 mRNA binding protein 2
10645		calcium/calmodulin dependent protein kinase kinase 2
10647		secretoglobin family 1D member 2
10648		secretoglobin family 1D member 1
10650		PRELI domain containing 3A
10651		metaxin 2
10652		YKT6 v-SNARE homolog
10653		serine peptidase inhibitor, Kunitz type 2
10654		phosphomevalonate kinase
10655	Failed_10655	
10656		KH RNA binding domain containing, signal transduction associated 3
10657		KH RNA binding domain containing, signal transduction associated 1
10658		CUGBP Elav-like family member 1
10659		CUGBP Elav-like family member 2
1066		carboxylesterase 1
10660		ladybird homeobox 1
10661		KLF transcription factor 1
10663		C-X-C motif chemokine receptor 6
10664		CCCTC-binding factor
