Name	Accession
hsa-miR-211-3p	MIMAT0022694
mmu-miR-20a-3p	MIMAT0004627
mmu-miR-18a-3p	MIMAT0004626
hsa-miR-214-3p	MIMAT0000271
mmu-miR-122-3p	MIMAT0017005
mmu-miR-129-5p	MIMAT0036506
mmu-miR-182-5p	MIMAT0032209
hsa-miR-557	MIMAT0003221
mmu-miR-203-3p	MIMAT0000236
hsa-miR-126-5p	MIMAT0049342
hsa-miR-942-5p	MIMAT0049420
hsa-miR-299-5p	MIMAT0049578
hsa-miR-132-3p	MIMAT0000426
rno-miR-182	MIMAT0005300
mmu-miR-34b-3p	MIMAT0004581
mmu-miR-20a-5p	MIMAT0036569
hsa-miR-27a-3p	MIMAT0000084
hsa-miR-526b-3p	MIMAT0002836
rno-miR-212-3p	MIMAT0000883
hsa-miR-545-3p	MIMAT0003165
hsa-miR-20a-3p	MIMAT0004493
hsa-miR-204-3p	MIMAT0022693
hsa-miR-500a-3p	MIMAT0002871
mmu-miR-181c-3p	MIMAT0017068
mmu-miR-93-5p	MIMAT0036617
rno-miR-30c-5p	MIMAT0036585
mmu-miR-181a-5p	MIMAT0044090
rno-miR-146a-3p	MIMAT0017132
mmu-miR-125a-5p	MIMAT0044194
hsa-miR-129-5p	MIMAT0036506
hsa-miR-580-3p	MIMAT0003245
mmu-miR-687	MIMAT0003466
mmu-miR-144-5p	MIMAT0048250
hsa-miR-135b-5p	MIMAT0036518
rno-miR-337-3p	MIMAT0000577
mmu-miR-93-3p	MIMAT0004636
mmu-miR-196a-5p	MIMAT0044146
hsa-miR-495-3p	MIMAT0002817
hsa-miR-1271-3p	MIMAT0022712
mmu-miR-214-5p	MIMAT0049694
hsa-miR-671-3p	MIMAT0004819
hsa-miR-196b-5p	MIMAT0044059
rno-miR-183-3p	MIMAT0017141
mmu-miR-376b-3p	MIMAT0001092
hsa-miR-196a-5p	MIMAT0044146
mmu-miR-201-5p	MIMAT0017364
mmu-miR-483-3p	MIMAT0003120
hsa-miR-18a-3p	MIMAT0002891
hsa-miR-93-3p	MIMAT0004509
hsa-miR-494-3p	MIMAT0002816
rno-miR-378a-3p	MIMAT0003379
rno-miR-128-3p	MIMAT0000834
mmu-miR-19b-3p	MIMAT0000513
hsa-miR-466	MIMAT0015002
rno-miR-21-3p	MIMAT0004711
hsa-miR-195-5p	MIMAT0036549
rno-miR-27a-3p	MIMAT0000799
hsa-miR-212-3p	MIMAT0000269
rno-miR-26b-3p	MIMAT0004714
hsa-miR-140-5p	MIMAT0036560
hsa-miR-455-3p	MIMAT0004784
mmu-miR-130b-3p	MIMAT0000387
mmu-miR-7b-3p	MIMAT0017071
mmu-miR-146b-5p	MIMAT0038962
mmu-miR-384-5p	MIMAT0048432
rno-miR-135a-5p	MIMAT0044328
mmu-miR-185-3p	MIMAT0016996
hsa-miR-34b-5p	MIMAT0049602
mmu-miR-297a-5p	MIMAT0000375
mmu-miR-144-3p	MIMAT0000156
mmu-miR-1839-5p	MIMAT0049128
mmu-miR-34b-5p	MIMAT0049602
mmu-miR-429-3p	MIMAT0001537
hsa-miR-421	MIMAT0003339
mmu-miR-29b-2-5p	MIMAT0000127
mmu-miR-191-3p	MIMAT0004542
rno-miR-28-5p	MIMAT0036565
mmu-miR-1199-5p	MIMAT0031128
rno-miR-138-5p	MIMAT0044223
mmu-miR-210-5p	MIMAT0031645
mmu-miR-23a-5p	MIMAT0049712
mmu-miR-762	MIMAT0003892
hsa-miR-762	MIMAT0010313
mmu-miR-122-5p	MIMAT0036530
mmu-miR-194-5p	MIMAT0036624
mmu-miR-5114	MIMAT0020622
mmu-let-7g-3p	MIMAT0004519
mmu-miR-139-5p	MIMAT0036540
mmu-miR-147-3p	MIMAT0004857
mmu-miR-1956	MIMAT0009428
mmu-miR-132-3p	MIMAT0000144
rno-miR-22-3p	MIMAT0000791
mmu-let-7e	MI0000561
mmu-miR-23a-3p	MIMAT0000532
mmu-miR-124-5p	MIMAT0048748
hsa-miR-181a-3p	MIMAT0000270
rno-miR-129-5p	MIMAT0036506
mmu-miR-150-3p	MIMAT0004535
mmu-miR-99b-3p	MIMAT0004525
mmu-miR-182-3p	MIMAT0016995
mmu-miR-106b-3p	MIMAT0004582
rno-miR-193a-3p	MIMAT0000868
rno-miR-124-3p	MIMAT0000828
mmu-miR-1941-5p	MIMAT0009406
mmu-miR-1960	MIMAT0009433
mmu-miR-138-5p	MIMAT0044223
hsa-miR-450b-5p	MIMAT0049394
mmu-miR-351-5p	MIMAT0017041
mmu-miR-5107-3p	MIMAT0022985
mmu-miR-10a-5p	MIMAT0044088
rno-miR-384-5p	MIMAT0048432
hsa-miR-330-3p	MIMAT0000751
mmu-miR-542-3p	MIMAT0003172
mmu-miR-185-5p	MIMAT0036564
rno-miR-92a-3p	MIMAT0000816
mmu-miR-146a-3p	MIMAT0016989
rno-miR-140-5p	MIMAT0036560
mmu-miR-205-3p	MIMAT0017003
mmu-miR-1966-3p	MIMAT0022952
mmu-miR-1958	MIMAT0009431
